id1,regneighborhood,id2,id3,id4,timestamp,startps,textps1,laddernow,ladder1yrago,ladder1yr,ladder5yr,textps2,textps3,thinkbad,baddream,badagain,badbody,badaway,baddo,badshare,badhappy,badfuture,badvex,badhear,badscare,badjump,badsad,badtired,badeat,badimportant,badreact,badadvice,badtalk,badspoiled,badfrust,badspirit,baddry,badsat,badburn,hardjokes,cheat,troublesome,selfdiscipline,frustrated,threaten,takethings,endps,rsmps,date,dup,starthg,texthousing1,dwelling,dwellingoth,walls,wallsoth,roof,roofoth,floor,flooroth,sleepstreet4w,sleepstreet4wamt,sleepstreet4wamtunit,sleepstreetnow,watersource,watersourceoth,toilet,toiletoth,bathe,batheoth,ownhouse,payrent,rent,rentunit,rooms,ownbed,sleepdry,sleepsafe,moneysafe,foodsafe,bussafe,othersafe,threatlife4w,threatlife4wx,physattack4w,physattack4wx,fearattack,fearpeople,endhg,rsmhg,startdrugs,textdrug1,selfdrinkbeerwine,drinkbeerwinexamt,drinkbeerwinexamtunit,drinkbeerwinemuch,drinkbeerwine7ddys,selfdrinkgin,drinkginxamt,drinkginxamtunit,drinkginmuch,drinkgin7ddys,addboozeprob,addboozetoler,adboozecantstop,druggrass,druggrass7dx,druggrassxamt,druggrassevday,addgrassprob,addgrasstoler,adgrasscantstop,drugntgrss,drugntgrssspecify,drugntgrsspecifyoth,drugntgrss4wx,drugntgrss4wamt,drugntgrss4wamtunit,drugntgrssevday,addntgrssprob,addntgrsstoler,adntgrsscantstop,selfdrugsell,selfdrugsellspecify,selfdrugsellspecifyoth,enddrugs,rsmda
20113,Redlight,0,0,D9585WQ28Y,6/28/2011 12:40,CLICK TO BEGIN,,1,1,10,10,,,3-One one time,3-One one time,4-Never,2-Sometimes,3-One one time,3-One one time,4-Never,3-One one time,3-One one time,2-Sometimes,4-Never,4-Never,2-Sometimes,2-Sometimes,2-Sometimes,4-Never,4-Never,2-Sometimes,4-Never,4-Never,4-Never,4-Never,4-Never,4-Never,3-One one time,3-One one time,2-Sometimes,2-Sometimes,3-One one time,4-Never,2-Sometimes,3-One one time,3-One one time,CLICK TO CONTINUE,Click to resume later,28jun2011,0,Click to begin,,1-House/Hut/Room in a house,,4-Dirt block,,1- Zinc/Metal,,1-Concrete/Stone,,N,,,N,2-Community pump,,3-Common flush toilet,,2-Private bathroom,,Y,3-Free,,,5,1-Sponge mattress,1-Yes,1-Yes,0-No,1-Yes,1-Yes,0-No,N,,N,,Y,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,0-No,,,,,0-No,,,,,,,,1-Yes,9,50,1-Yes,4-Never,1-Yes,1-Yes,1-Yes,3-Italian/Tie White;5-Rolling Tide,,6,4000,LD,1-Yes,4-Never,1-Yes,1-Everytime,0-No,,,CLICK TO CONTINUE,Resume later
20114,Redlight,0,0,pq0129,6/16/2011 10:44,CLICK TO BEGIN,,5,4,7,8,,,2-Sometimes,3-One one time,2-Sometimes,3-One one time,2-Sometimes,2-Sometimes,4-Never,1-Everytime,3-One one time,4-Never,2-Sometimes,4-Never,3-One one time,2-Sometimes,3-One one time,2-Sometimes,4-Never,4-Never,3-One one time,1-Everytime,4-Never,3-One one time,4-Never,4-Never,3-One one time,4-Never,2-Sometimes,3-One one time,3-One one time,1-Everytime,4-Never,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,16jun2011,0,Click to begin,,1-House/Hut/Room in a house,,2-Cement/Stone blocks,,7-Concrete/Cement,,1-Concrete/Stone,,N,,,N,4-Buy in bag,,8-Government toilet,,1-Community bathroom,,N,3-Free,,,11,1-Sponge mattress,"3-No, big water",1-Yes,0-No,1-Yes,1-Yes,1-Yes,Y,2,N,,Y,Y,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,25,LD,3-Small,1,1-Yes,10,LD,2-Some,2,2-Sometimes,4-Never,1-Yes,0-No,,,,,,,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20116,Redlight,0,0,pq0131,6/14/2011 12:37,CLICK TO BEGIN,,1,1,10,10,,,2-Sometimes,3-One one time,2-Sometimes,4-Never,2-Sometimes,2-Sometimes,3-One one time,3-One one time,4-Never,4-Never,4-Never,4-Never,3-One one time,2-Sometimes,4-Never,4-Never,4-Never,4-Never,4-Never,4-Never,3-One one time,2-Sometimes,4-Never,4-Never,2-Sometimes,4-Never,4-Never,4-Never,4-Never,2-Sometimes,4-Never,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,14jun2011,0,Click to begin,,4-Abandoned Building,,2-Cement/Stone blocks,,1- Zinc/Metal,,1-Concrete/Stone,,Y,4,Week,Y,3-Community well,,5-Common pit latrine,,3-River / Beach / Outside,,N,3-Free,,,4,6-Other poor materials,1-Yes,1-Yes,0-No,0-No,0-No,1-Yes,N,,N,,N,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,800,LD,1-Plenty,1,1-Yes,40,LD,1-Plenty,1,3-One one time,3-One one time,0-No,0-No,,,,,,,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20117,Redlight,0,0,pz0162,1/2/2005 13:10,CLICK TO BEGIN,,2,1,3,7,,,1-Everytime,4-Never,3-One one time,4-Never,3-One one time,3-One one time,2-Sometimes,1-Everytime,4-Never,4-Never,4-Never,4-Never,1-Everytime,3-One one time,2-Sometimes,4-Never,2-Sometimes,3-One one time,2-Sometimes,3-One one time,4-Never,2-Sometimes,4-Never,4-Never,2-Sometimes,4-Never,1-Everytime,3-One one time,3-One one time,1-Everytime,4-Never,4-Never,3-One one time,CLICK TO CONTINUE,Click to resume later,02jan2005,0,Click to begin,,1-House/Hut/Room in a house,,2-Cement/Stone blocks,,1- Zinc/Metal,,1-Concrete/Stone,,N,,,N,4-Buy in bag,,8-Government toilet,,3-River / Beach / Outside,,Y,3-Free,,,4,1-Sponge mattress,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,N,,N,,Y,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,100,LD,2-Some,2,1-Yes,25,LD,2-Some,4,4-Never,4-Never,1-Yes,1-Yes,7,20,1-Yes,2-Sometimes,0-No,1-Yes,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20118,Redlight,0,0,pq0129,6/23/2011 12:56,CLICK TO BEGIN,,3,4,10,10,,,4-Never,3-One one time,3-One one time,4-Never,2-Sometimes,1-Everytime,2-Sometimes,2-Sometimes,4-Never,4-Never,4-Never,4-Never,3-One one time,2-Sometimes,3-One one time,3-One one time,4-Never,3-One one time,4-Never,2-Sometimes,3-One one time,3-One one time,4-Never,3-One one time,3-One one time,4-Never,3-One one time,3-One one time,2-Sometimes,2-Sometimes,4-Never,3-One one time,4-Never,CLICK TO CONTINUE,Click to resume later,23jun2011,0,Click to begin,,1-House/Hut/Room in a house,,2-Cement/Stone blocks,,2-Tarpaulin/Plastic,,6-Tarpaulin/Plastic,,N,,,N,2-Community pump,,2-Own flush toilet,,2-Private bathroom,,Y,1-Rent,500,LD,6,1-Sponge mattress,1-Yes,0-No,0-No,1-Yes,0-No,0-No,N,,N,,N,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,0-No,,,,,0-No,,,,,,,,0-No,,,,,,,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20120,Redlight,0,0,pq0160,6/11/2011 15:52,CLICK TO BEGIN,,4,3,7,9,,,4-Never,4-Never,4-Never,4-Never,2-Sometimes,2-Sometimes,4-Never,1-Everytime,4-Never,4-Never,4-Never,4-Never,4-Never,2-Sometimes,3-One one time,4-Never,4-Never,4-Never,4-Never,4-Never,2-Sometimes,4-Never,4-Never,4-Never,2-Sometimes,2-Sometimes,4-Never,4-Never,4-Never,1-Everytime,2-Sometimes,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,11jun2011,0,Click to begin,,7-Market House/business place,,,,,,,,Y,4,Week,Y,4-Buy in bag,,8-Government toilet,,3-River / Beach / Outside,,N,2-Services,,,1,6-Other poor materials,"2-No, small water/leaks",0-No,0-No,0-No,0-No,1-Yes,N,,N,,N,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,80,LD,3-Small,7,1-Yes,40,LD,3-Small,4,4-Never,4-Never,1-Yes,1-Yes,21,40,1-Yes,1-Everytime,1-Yes,0-No,0-No,,,,,,,,,,1-Yes,1-Marijuana/Grass/Opium,,CLICK TO CONTINUE,Resume later
20121,Redlight,0,0,pq0127,6/10/2011 15:11,CLICK TO BEGIN,,10,8,6,10,,,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,4-Never,2-Sometimes,4-Never,4-Never,2-Sometimes,2-Sometimes,4-Never,2-Sometimes,4-Never,4-Never,2-Sometimes,4-Never,4-Never,4-Never,2-Sometimes,2-Sometimes,4-Never,4-Never,2-Sometimes,4-Never,2-Sometimes,4-Never,4-Never,2-Sometimes,2-Sometimes,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,10jun2011,0,Click to begin,,7-Market House/business place,,,,,,,,Y,28,Day,Y,4-Buy in bag,,9-Put in plastic and throw,,3-River / Beach / Outside,,N,2-Services,,,0,7-Floor/ground,"3-No, big water",0-No,0-No,0-No,0-No,0-No,Y,1,Y,2,Y,Y,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,15,USD,1-Plenty,1,0-No,,,,,,,,0-No,,,,,,,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
20122,Redlight,0,0,pq0132,6/9/2011 11:23,CLICK TO BEGIN,,4,9,10,10,,,3-One one time,4-Never,4-Never,2-Sometimes,3-One one time,3-One one time,1-Everytime,3-One one time,3-One one time,1-Everytime,4-Never,3-One one time,1-Everytime,2-Sometimes,2-Sometimes,3-One one time,4-Never,3-One one time,4-Never,3-One one time,2-Sometimes,3-One one time,4-Never,3-One one time,2-Sometimes,3-One one time,2-Sometimes,4-Never,3-One one time,3-One one time,3-One one time,4-Never,3-One one time,CLICK TO CONTINUE,Click to resume later,09jun2011,0,Click to begin,,1-House/Hut/Room in a house,,2-Cement/Stone blocks,,1- Zinc/Metal,,1-Concrete/Stone,,N,,,N,1-Piped water,,8-Government toilet,,1-Community bathroom,,N,3-Free,,,4,1-Sponge mattress,1-Yes,1-Yes,1-Yes,0-No,0-No,0-No,N,,N,,N,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,0,LD,3-Small,1,0-No,,,,,2-Sometimes,4-Never,1-Yes,1-Yes,4,5,0-No,3-One one time,1-Yes,1-Yes,1-Yes,3-Italian/Tie White,,30,280,LD,1-Yes,2-Sometimes,1-Yes,1-Everytime,1-Yes,3-Dugee/ItalianWhite/RollingTa,,CLICK TO CONTINUE,Resume later
20123,Redlight,0,0,ipaq5,6/24/2011 15:51,CLICK TO BEGIN,,1,2,4,7,,,2-Sometimes,4-Never,4-Never,3-One one time,2-Sometimes,2-Sometimes,4-Never,1-Everytime,4-Never,3-One one time,2-Sometimes,4-Never,3-One one time,3-One one time,4-Never,4-Never,2-Sometimes,4-Never,4-Never,3-One one time,2-Sometimes,2-Sometimes,4-Never,2-Sometimes,3-One one time,3-One one time,2-Sometimes,3-One one time,3-One one time,1-Everytime,2-Sometimes,4-Never,2-Sometimes,CLICK TO CONTINUE,Click to resume later,24jun2011,0,Click to begin,,1-House/Hut/Room in a house,,1-Zinc/Metal,,1- Zinc/Metal,,5-Bare ground,,N,,,N,2-Community pump,,7-River / Creek / Beach,,1-Community bathroom,,N,3-Free,,,5,6-Other poor materials,"3-No, big water",0-No,0-No,0-No,0-No,0-No,N,,N,,N,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,35,LD,2-Some,0,0-No,,,,,4-Never,4-Never,0-No,1-Yes,14,20,1-Yes,1-Everytime,1-Yes,1-Yes,1-Yes,3-Italian/Tie White;4-Coco;7-Dugee;8-Cocaine,,56,280,USD,1-Yes,1-Everytime,1-Yes,1-Everytime,0-No,,,CLICK TO CONTINUE,Resume later
20124,Redlight,0,0,pq0132,6/17/2011 18:14,CLICK TO BEGIN,,1,1,2,5,,,2-Sometimes,3-One one time,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,4-Never,2-Sometimes,2-Sometimes,2-Sometimes,4-Never,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,2-Sometimes,4-Never,2-Sometimes,3-One one time,4-Never,4-Never,4-Never,3-One one time,3-One one time,3-One one time,3-One one time,3-One one time,3-One one time,2-Sometimes,4-Never,4-Never,CLICK TO CONTINUE,Click to resume later,17jun2011,0,Click to begin,,1-House/Hut/Room in a house,,2-Cement/Stone blocks,,1- Zinc/Metal,,1-Concrete/stone,,Y,3,Day,N,4-Buy in bag,,3-Common flush toilet,,2-Private bathroom,,Y,3-Free,,,3,1-Sponge mattress,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,N,,Y,2,Y,N,CLICK TO CONTINUE,Click to resume later,Click to begin ,,1-Yes,150,LD,1-Plenty,1,1-Yes,60,LD,2-Some,1,4-Never,2-Sometimes,0-No,0-No,,,,,,,0-No,,,,,,,,,,0-No,,,CLICK TO CONTINUE,Resume later
